S.No,Syndrome,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
1,Achondroplasia,Short stature,Disproportionately short limbs,Large forehead,Frontal bossing,Midface hypoplasia,Bowed legs,Limited elbow extension,Trident hand,Lumbar lordosis,Normal intelligence
2,Aicardi's syndrome,Infantile spasms/seizures,Developmental delay,Absence of corpus callosum,Visual impairment,Retinal lacunae,Microcephaly,Hypotonia,Irregular breathing,Poor feeding,Intellectual disability
3,Albinism,Very pale skin,Light hair,Reduced pigmentation of eyes,Nystagmus,Photophobia,Decreased visual acuity,Strabismus,Poor depth perception,Increased sun sensitivity,Freckling absent or minimal
4,Albright's syndrome,Short stature,Round face,Shortened 4th/5th metacarpals,Subcutaneous ossifications,Obesity,Delayed bone age,Endocrine resistance (PTH),Cognitive impairment in some,Dental abnormalities,Early-onset puberty sometimes
5,Alport's syndrome,Hematuria (blood in urine),Proteinuria,Progressive renal failure,Sensorineural hearing loss,Eye abnormalities,Hypertension,Edema,Fatigue,Decreased kidney function,Family history of kidney disease
6,Angelman's syndrome,Severe developmental delay,Minimal or absent speech,Frequent laughter/smiling,"Happy, excitable demeanor",Seizures,Ataxic gait,Sleep disturbances,Microcephaly,Feeding difficulties in infancy,Hand flapping
7,Ankylosing spondylitis,Chronic low back pain,Morning stiffness,Progressive spinal stiffness,Reduced chest expansion,Buttock pain,Enthesitis (heel pain),Peripheral joint pain,Fatigue,Eye inflammation (uveitis),Weight loss
8,Apert's syndrome,Premature fusion of skull sutures (craniosynostosis),Fused fingers (syndactyly),Fused toes,Midface hypoplasia,High forehead,Shallow orbits,Hearing loss,Dental crowding,Developmental delay in some,Respiratory problems
9,Arthrogryposis,Multiple joint contractures at birth,Limited range of motion,Clubfoot,Hip dislocation,Muscle weakness,"Thin, fibrous muscles",Curved spine (scoliosis),Difficulty feeding,Reduced fetal movements in pregnancy,Stiff hands
10,Asperger's syndrome,Difficulties in social interaction,"Restricted, repetitive behaviors",Intense narrow interests,Poor nonverbal communication,Literal language use,Clumsiness,Sensory sensitivities,Anxiety,Exceptional rote memory in some,Difficulty with social reciprocity
11,Ataxia-telangiectasia,Progressive cerebellar ataxia,Oculomotor apraxia,Telangiectasias (eyes/skin),Recurrent sinopulmonary infections,Immunodeficiency,Movement problems,Dysarthria,Short stature,Increased cancer risk (especially leukemia/lymphoma),Sensitivity to radiation
12,Batten's disease,Seizures,Progressive vision loss,Cognitive decline,Behavioral changes,Motor deterioration,Speech loss,Movement disorders,Myoclonus,Ataxia,Premature death
13,Beckwith-Wiedeman syndrome,Macrosomia (large body size),Macroglossia (large tongue),Omphalocele/umbilical hernia,Hemihyperplasia,Neonatal hypoglycemia,Ear creases or pits,Organomegaly,Increased risk of embryonal tumors,Respiratory difficulties,Feeding issues
14,Charcot-Marie-Tooth disease,Distal muscle weakness,Foot drop,High-arched feet (pes cavus),Decreased deep-tendon reflexes,Sensory loss in feet and hands,Numbness/tingling,Hand weakness,Muscle wasting in lower legs,Difficulty running,Foot deformities
15,CHARGE association,Coloboma of eye,Heart defects,Atresia of choanae,Retardation of growth/development,Genital hypoplasia,Ear anomalies and hearing loss,Cranial nerve dysfunction,Facial asymmetry,Swallowing difficulties,Cleft palate in some
